1992	63.09	56.41	36.80	43.08
1993	-53.07	56.49	36.97	71.01
1994	-85.95	56.49	-33.92	90.74
1995	-102.84	68.31	-129.02	110.46
1996	90.99	76.56	-126.87	132.30
1997	10.92	78.25	-79.25	153.31
1998	-125.48	80.75	-142.21	172.75
1999	-33.85	77.83	-218.06	190.03
2000	-42.17	78.53	-256.41	205.49
2001	-47.12	79.13	-301.26	220.10
2002	-119.20	76.47	-387.43	233.41
2003	-164.23	63.37	-531.02	243.53
2004	-183.95	64.65	-705.94	251.82
2005	-188.66	64.71	-892.44	259.99
2006	-220.10	63.48	-1098.13	267.76
2007	-233.84	62.00	-1325.67	275.00
2008	-228.24	60.44	-1556.47	281.72
2009	-248.76	58.47	-1795.83	287.91
2010	-303.46	55.45	-2074.23	293.47
2011	-334.86	61.64	-2394.69	299.31
2012	-324.36	69.84	-2723.86	306.52
2013	-230.09	63.44	-2997.16	313.63
2014	-213.76	64.68	-3218.40	320.12
2015	-198.64	64.47	-3423.97	326.56
2016	-224.50	61.56	-3636.62	332.57
2017	-111.13	70.98	-3799.72	339.19
2018	-140.44	57.96	-3926.72	345.18
